"id";"Verwaltungeinheit";"Entsorgungsgebiet";"PLZ";"zugeordneter_Kreis";"Unternehmen 1";"Unternehmen 2";"Abfallberater";"Adresse";"E-Mail";"Telefon";"Angebote";"Linktext 1";"Link 1";"Linktext 2";"Link 2";"Linktext 3";"Link 3"
46;"Kreisfreie Stadt Bonn";;;;"bonnorange AöR";;;"Lievelingsweg 110, 53119 Bonn ";"abfallberatung@bonnorange.de";"0228 5552720 ";"Sortierhilfe in diversen Sprachen, Tausch-u. Verschenkmarkt, Tipps zur Abfallvermeidung,  Abfallpädagogik";"Kontakt Abfallberatung";"http://www.bonnorange.de/kundenservice.html";"Infomaterial";"http://www.bonnorange.de/downloads.html";"Tausch- und Verschenkmarkt";"http://bonn.internet-verschenkmarkt.de/info.asp"
47;"Landkreis Börde";;;;"Kommunalservice Landkreis Börde AöR";;"Jörg Reinemann, Astrid Schäfer";;"j.reinemann@ks-boerde.de, a.schaefer@ks-boerde.de";"039201 7033-118 /-119";"Kompakte Infos, Abfallbroschüre, Sortierhilfen";"Kontakt Abfallberatung";"http://www.ks-boerde.de/index.php?id=189";"Infos zur Abfalltrennung";"http://www.ks-boerde.de/index.php?id=171";;
48;"Kreis Borken";;;;"Entsorgungsgesellschaft Westmünsterland mbH (EGW)";;;"Estern 41, 48712 Gescher";"info@egw.de";"02542 9290";"Abfallpädagogik, Tipps zur Abfallvermeidung, Trennhilfen";"Kontakt Abfallberatung";"http://www.egw.de/Service/abfallberatung.html";"Tipps zur Abfallvermeidung";"http://www.egw.de/service/abfallberatung/abfallvermeidung/";"Sammlung für das KARO Sozialkaufhaus";"http://www.egw.de/service/abfallberatung/sozialkaufhaeuser/"
49;"Kreisfreie Stadt Bottrop";;;;"Bottroper Entsorgung und Stadtreinigung (BEST) AöR ";;;;"best@best-bottrop.de ";"02041 7969-0 /-13";"Abfallpädagogik, Führungen, „Bottrop putzt“, Sortierhilfe in diversen Sprachen, Abfallbroschüre";"Übersicht Abfallwirtschaft";"http://www.best-bottrop.de/Abfallwirtschaft/default.asp?highmain=2&highsub=0&highsubsub=0";"Abfall-ABC";"http://www.best-bottrop.de/abfall-abc.html";;
50;"Kreisfreie Stadt Brandenburg an der Havel";;;;"Stadtverwaltung Brandenburg";"FB Bauen und Umwelt";"Ricarda Löffler, Ines Wirschin";"Klosterstraße 14, 14770 Brandenburg an der Havel ";"ricarda.loeffler(at)stadt-brandenburg.de, ines.wirschin(at)stadt-brandenburg.de";"03381 5831-34 /-14";"Kompakte Infos, Trennhilfe, Abfallbroschüre";"Kontakt Abfallberatung";"https://www.stadt-brandenburg.de/dienstleistungen/service/abfallvermeidung-beratung/?no_cache=1&tx_brbuergerservice_pi1%5Bsword%5D=abfall";"Ratgeber und Infomaterial";"https://www.stadt-brandenburg.de/leben/abfall-und-abwasser/info-material/";"Abfall-ABC";"https://www.stadt-brandenburg.de/leben/abfall-und-abwasser/abfall-abc/"
51;"Kreisfreie Stadt Braunschweig";;;;"ALBA Braunschweig GmbH ";;;"Frankfurter Straße 251, 38122 Braunschweig";;"0531 88620";"Tipps zur Abfallvermeidung, Abfallpädagogik, Trennhilfe, Verschenkmarkt, Sortierhilfe in diversen Sprachen";"Kontakt Bürgerservice";"http://www.alba-bs.de/index.asp?CITY=BS&NAV=40";"Infos zur Abfalltrennung";"http://www.alba-bs.de/index.asp?CITY=BS&NAV=139";"Verschenkemarkt";"http://braunschweig.internet-verschenkmarkt.de/list.asp"
52;"Landkreis Breisgau-Hochschwarzwald";;;;"Abfallwirtschaft, Landkreis Breisgau-Hochschwarzwald (ALB)";;;"Bismarckallee 7a, 79098 Freiburg ";"alb@lkbh.de";"0761 2187-9707";"Info-Broschüren, Abfallpädagogik";"Kontakt Abfallberatung";"http://www.breisgau-hochschwarzwald.de/pb/Breisgau-Hochschwarzwald, Lde/Start/Service+_+Verwaltung/Kontakt.html";"Informationsmaterial";"http://www.breisgau-hochschwarzwald.de/pb/Breisgau-Hochschwarzwald, Lde/Start/Service+_+Verwaltung/Informationsmaterial+und+Formulare.html";;
53;"Kreisfreie Stadt Bremen";;;;"Entsorgung kommunal - Umweltbetrieb Bremen";;"Antje von Horn";"Willy-Brandt-Platz 7, 28215 Bremen ";"kontakt@entsorgung-kommunal.de ";"0421 361-3611";"Reste-Kochbuch, Abfallpädagogik, Sortierhilfe in diversen Sprachen, „Tausch-Bar“, „Bauteil-Börse Bremen“";"Kontakt Kundenservice";"http://www.entsorgung-kommunal.de/service/kontakt-2511";"Aktionen und Projekte";"http://www.entsorgung-kommunal.de/voll_wert_voll-9393";"Abfall-ABC";"http://www.entsorgung-kommunal.de/entsorgung/abfall_abc-2268"
54;"Kreisfreie Stadt Bremerhaven";;;;"Bremerhavener Entsorgungsgesellschaft mbH (BEG/ Remondis)";;;"Zur Hexenbrücke 16, D-27570 Bremerhaven ";"info@beg-bhv.de";"0471 186-555";"Sortierhilfe";;"http://beg-bhv.de/kommunen/leistungen/";;;;
55;;"Brühl";50321;"Kreis Rhein-Erft-Kreis";"Stadt Brühl / Verbraucherzentrale Brühl";;;"Carl-Schurz-Straße 1, 50321 Brühl";"bruehl.umwelt@vz-nrw.de";"02232 20687-05";"Persönliche Beratung";"Kontakt Abfallberatung";"http://www.stadtservice-bruehl.de/abfallberatung.html";"Website der Verbraucherzentrale Brühl";"https://www.verbraucherzentrale.nrw/beratungsstellen/496/kontakt/Umweltberatung/1449";;
56;"Landkreis Burgenlandkreis";;;;"Abfallwirtschaft Sachsen-Anhalt Süd AöR";;;"Südring 8, 06618 Mertendorf";"abfallwirtschaft@awsas.de";"034445 223-15";"Sortierinfos, Abfallpädagogik, Biotonnen-Infos, Magazin ""Umweltinformationen""";"Infos zur Abfalltrennung";"http://www.awsas.de/index.php/abfalltrennung.html";"Informationsmaterial";"http://www.awsas.de/index.php/downloads.html";;
57;"Landkreis Calw";;;;"Abfallwirtschaft Landkreis Calw GmbH";;;"Gäuallee 5, 72202 Nagold";"kontakt@awg-info.de ";"0800 3030839 (kostenlos)";"Verschenk- und Tauschbörse, Sortierhilfen in diversen Sprachen";"Kontakt Abfallberatung";"http://www.awg-info.de/index.php?id=57";"Abfall-ABC";"http://www.awg-info.de/index.php?id=155&L=0";"Verschenkemarkt";"http://www.awg-info.de/index.php?id=360"
58;;"Castrop-Rauxel";" 
44575, 44577, 44579, 44581";"Kreis Recklinghausen";"EUV Stadtbetrieb Castrop-Rauxel";;;"Westring 215, 44575 Castrop-Rauxel ";"info@euv-stadtbetrieb.de ";"02305 9686-543";"Broschüren, Trennhilfen, EUV-Umweltbrummi für Schadstoffe und Elektrogeräte";"Kontakt Abfallberatung";"https://www.euv-stadtbetrieb.de/private-haushalte/entsorgung/";"Abfall-ABC";"https://www.euv-stadtbetrieb.de/private-haushalte/entsorgung/abfall-abc/";"Trennhilfe in diversen Sprachen";"https://www.euv-stadtbetrieb.de/fileadmin/content/downloads/Flyer_Broschueren/Flyer_Abfalltrennung_mehrsprachig.pdf"
59;"Landkreis Celle";;;;"Zweckverband Abfallwirtschaft Celle ";;"Werner Bartels-Knoche, Dr. Petra Kloss, Dagma Schmiedner";"Braunschweiger Heerstr. 109, 29227 Celle  ";"info@zacelle.de ";"05141 7502-222";"Infos zur Abfalltrennung, „Fairkauf-Center“, Abfallpädagogik";"Kontakt Abfallberatung";"http://www.zacelle.de/privatkunden/";"Abfall-ABC";"http://www.zacelle.de/privatkunden/abfall-abc/";"Fairkauf-Center";"https://www.fairkauf-center.de/"
60;"Landkreis Cham";;;;"Landratsamt Cham";"Abfallwirtschaft Kreiswerke Cham";"Alfred Rauscher";"Mittelweg 15, 93413 Cham";"abfallwirtschaft@lra.landkreis-cham.de, alfred.rauscher@lra.landkreis-cham.de";"09971 78-352";"Allgemeine Infos";"Kontakt Abfallberatung";"https://www.landkreis-cham.de/landkreis-landratsamt/geschaeftsverteilung/?BeratungAbfall-Sperrmuell-Wertstoff-Sondermuellentsorgung&view=org&orgid=9d2e59e5-43de-40fc-b5b1-7a341e82f49e";"Infos zur Abfalltrennung";"http://www.kreiswerke-cham.de/Abfallwirtschaft/3-Tonnen-System.aspx";;
61;"Kreisfreie Stadt Chemnitz";;;;"Abfallentsorgungs- und Stadtreinigungsbetrieb (ASR)";;;"Blankenburgstraße 62, 09114 Chemnitz";"Abfallberatung@ASR-Chemnitz.de ";"0371 4095-102";"Infos didaktisch gut aufbereitet, Abfallpädagogik, Abfallratgeber, Tausch- und Verschenkmarkt, Sortierhilfe in diversen Sprachen, Kundenzeitung";"Kontakt Abfallberatung";"http://www.asr-chemnitz.de/leistungen/abfallberatung/";"Infomaterialien";"http://www.asr-chemnitz.de/downloads/infomaterial/";;
62;"Landkreis Cloppenburg";;;;"Kreisverwaltung Cloppenburg";"Amt für Wasser- und Abfallwirtschaft";"Hildegard Rolfes ";"Eschstraße 29, 49661 Cloppenburg";"h.rolfes@lkclp.de ";"04471 15-432     ";"Sortierhilfe in 13 Sprachen, Tausch- u. Verschenkmarkt";"Kontakt Abfallberatung";"http://www.lkclp.de/bauen-umwelt/abfallberatung.php";"Infos zur Abfalltrennung";"https://www.lkclp.de/bauen-umwelt/abfallberatung/downloadangebote.php";"Tausch- und Verschenkmarkt";"http://cloppenburg-lk.internet-verschenkmarkt.de/list.asp"
63;"Kreisfreie Stadt Coburg";;;;"Coburger Entsorgungs- und Baubetrieb (CEB) ";;;"Bamberger Straße 2-6, 96450 Coburg";"info@ceb-coburg.de ";"09561 749-5555";"Trenninfos";"Infos zur Abfalltrennung";"http://www.ceb-coburg.de/04_Stadtreinigung-Abfall/Auf-einen-Blick/Infomaterial.php";;;;
64;"Landkreis Coburg";;;;"Landratsamt Coburg";;"Wolfgang Sommer";"Lauterer Straße 60, 96450 Coburg";"wsommer@landkreis-coburg.de";"09561 514-268 ";"Abfallfibel mit Infos zu Abfalltrennung, Abfallpädagogik, Geschirrverleih und Kontakt Abfallberatung";"Abfallfibel";"http://www.landkreis-coburg.de/999-0-Abfallfibel-Muellgebuehren-und-Entsorgungswege.html";;;;
65;"Landkreis Cochem-Zell";;;;"Kreisverwaltung Cochem- Zell";"Abfallwirtschaft Landkreis Cochem-Zell";"Jörg Anger ";"Vor den Birken 6, 56814 Faid";"abfallwirtschaft@cochem-zell.de,  joerg.anger@cochem-zell.de";"02671 61-941";"Abfallpädagogik, Gebrauchtgüter- und Bodenbörse, zweisprachige Sortierhilfe, ";"Kontakt Abfallwirtschaft";"https://www.cochem-zell.de/kv_cochem_zell/Unsere%20Themen/Kreiswerke%20Cochem-Zell/Abfallwirtschaft/Ansprechpartner%20bei%20der%20Abfallwirtschaft/";"Abfall-ABC";"https://www.cochem-zell.de/kv_cochem_zell/Unsere%20Themen/Kreiswerke%20Cochem-Zell/Abfallwirtschaft/Abfall%20ABC/Abfall%20ABC%20Tabelle/";"Gebrauchsgüter- und Bodenbörse";"https://www.cochem-zell.de/kv_cochem_zell/Unsere%20Themen/Kreiswerke%20Cochem-Zell/Abfallwirtschaft/Gebrauchsg%C3%BCter-%20und%20Bodenb%C3%B6rse/"
66;"Kreis Coesfeld";;;;"Landratsamt Coesfeld";;"Matthias Bücker, Ralf Abeler";"Friedrich-Ebert-Straße 7, 48653 Coesfeld";"matthias.buecker@kreis-coesfeld.de, ralf.abeler@kreis-coesfeld.de";"02541 95251-17 /-16";"Trennhilfen, Repair-Café-Führer, Abfallpädagogik, Broschüren";"Kontakt Abfallberatung (überörtlich)";"http://www.wbc-coesfeld.de/abfallentsorgung/abfallberatung.html";"Örtliche Abfallberatungen";"http://www.wbc-coesfeld.de/service/abfall-infos-ihrer-stadt-gemeinde.html";"Informationsmaterial";"http://www.wbc-coesfeld.de/service/infomaterial.html"
67;"Kreisfreie Stadt Cottbus";;;;"Stadtverwaltung Cottbus";"
Amt für Abfallwirtschaft und Stadtreinigung";"Trotz gesetzlicher Pflicht scheint Cottbus die Abfallberatung abgeschafft zu haben. Beschweren Sie sich beim zuständigen Amt!";"Amtsleiterin Sybille Schneider, Karl-Marx-Str. 67, 03044 Cottbus";"abfallwirtschaftsamt@cottbus.de";"0355 612-2735";"Nur rechtliche Dokumente";"Website des Abfallwirtschaftsamtes";"https://www.cottbus.de/verwaltung/gb_ii/abfall/abfallentsorgung/";;;;
68;;"Cuxhaven";"27472, 27474, 27476, 27478";"Landkreis Cuxhaven";"Stadtverwaltung Cuxhaven ";;"Henry Jassmann ";"Meyerstraße 40, 27472 Cuxhaven ";"info@cuxhaven.de";"04721 70070614";"Allgemeine Infos zu verschiedenen Tonnen";"Kontakt Abfallberatung";"http://www.cuxhaven.de/verwaltung/dienstleistungen/dienstleistung.php?menuid=297&topmenu=3&id=6";"Übersicht Abfallwirtschaft und Straßenreinigung";"http://www.cuxhaven.de/staticsite/staticsite.php?menuid=307&topmenu=44";;
69;"Landkreis Cuxhaven";;;;"Landkreis Cuxhaven ";;"Michael Marek, Jörn Heitmann";"Vincent-Lübeck-Straße 2, 27474 Cuxhaven";"abfallberatung@landkreis-cuxhaven.de";"04721 66-2606 /-2525 ";"Trennhilfen, Abfallpädagogik, Aktionen";"Kontakt Abfallberatung";"http://www.landkreis-cuxhaven.de/index.phtml?La=1&sNavID=1779.280&mNavID=1779.11&object=tx, 578.517.1";"Übersicht der Angebote";"http://www.landkreis-cuxhaven.de/index.phtml?mNavID=1779.11&sNavID=1779.280&La=1";"Abfall-ABC";"http://www.landkreis-cuxhaven.de/index.phtml?La=1&sNavID=1779.280&mNavID=1779.11&object=tx, 578.522.1&kat=&kuo=2&sub=0"
70;"Landkreis Dachau";;;;"Landratsamt Dachau";"SG Kommunale Abfallwirtschaft";"Antje Burger, Evelyn Langgartner, Barbara Mühlbauer-Talbi";"Dr.-Hiller-Straße 36, 85221 Dachau ";"antje.burger@lra-dah.bayern.de, evelyn.langgartner@lra-dah.bayern.de, barbara.muehlbauer-talbi@lra-dah.bayern.de";"08131 7414-70 /-63 /-69";"Sortierhilfen in diversen Sprachen, Abfallpädagogik, Verschenkmarkt, Reparaturführer, Second-Hand-Führer, Leihlexikon";"Kontakt und Angebote Abfallberatung";"https://www.landratsamt-dachau.de/Landratsamt/Fachbereiche.aspx?OrgID=1b6c0769-8f86-4be3-8608-5f61f9ecb526";"Reparaturführer für München und Umland";"http://www.awm-muenchen.de/privathaushalte/abfallvermeidung/reparaturfuehrer/";;
71;;"Dahme-Spreewald Kreis Südbrandenburg";"12529, 15711, 15712, 15713, 15732, 15738, 15741, 15745, 15746, 15748, 15749, 15754, 15755, 15757";"Landkreis Dahme-Spreewald";"Südbrandenburgische Abfallzweckverband (SBAZV)";;"Herr Winter, Frau Dommisch";"Teltowkehre 20, 14974 Ludwigsfelde ";"winter@sbazv.de, bdommisch@sbazv.de";"03378 5180-170 /-171";"Umfangreiche Informationen zu Abfalltrennung und Abfallvermeidung, Abfallpädagogik";"Kontakt Abfallberatung";"http://www.sbazv.de/privatkunden/ansprechpartner/#c1034";"Infos Abfalltrennung und Abfallvermeidung";"http://www.sbazv.de/privatkunden/abfallratgeber/";"Ratgeber zur Entsorgung";"http://www.sbazv.de/verband/materialien-downloads/#c706"
72;;"Dahme-Spreewald Kreis Niederlausitz";"15868, 15907, 15910, 15913, 15926, 15938";"Landkreis Dahme-Spreewald";"Kommunaler Abfallentsorgungsverband „Niederlausitz“";;"Frau Matysiak, Frau Schoan";"Frankfurter Straße 45, 15907 Lübben (Spreewald)";"matysiak@kaev.de, schoan@kaev.de";"03546 2704-19";;"Kontakt Abfallberatung";"http://www.kaev.de/kontakt-ansprechpartner/abfallberatung/";"Abfall-ABC";"http://www.kaev.de/was-wohin-abfall-abc/";"Infobroschüren";"http://www.kaev.de/infomaterial-downloads/infobroschueren-infoblaetter/"
73;"Kreisfreie Stadt Darmstadt";;;;"Stadtverwaltung Darmstadt";"Eigenbetrieb für kommunale Aufgaben und Dienstleistungen (EAD)";;"Sensfelderweg 33, 64293 Darmstadt";"ead@darmstadt.de ";"06151 13 46   -000 ";"Abfallpädagogik, Sortierhilfen, Abfallbroschüre, Geschirrmobile, Tausch-und Verschenkemarkt, Gebrauchtkaufhaus";"Kontakt Abfallberatung";"http://ead.darmstadt.de/ead/beratung_kontakt/abfallberatung.php";"Geschirrverleih";"https://ead.darmstadt.de/ead/abfaelle_von_a_bis_z/alphabetischer_ratgeber/ar_g/geschirrmobil.php";"Online Schenk-Tauschkiste mit Reparaturführer ";"https://ead.schenk-tauschkiste.de/"
74;"Landkreis Darmstadt-Dieburg";;;;"Zweckverband Abfall- und Wertstoffeinsammlung für den Landkreis Darmstadt-Dieburg (ZAW)";;"Christine Funck";"Roßdörfer Str. 106, 64409 Messel ";"c.funck@zaw-online.de ";"06159 9160-144";"Sortierhilfe in diversen Sprachen, Tausch-Verschenkbörse mit Reparaturführer";"Kontakt Abfallberatung";"https://www.zaw-online.de/index.php?option=com_content&view=article&id=81&Itemid=139";"Online Schenk-Tauschkiste mit Reparaturführer ";"https://ead.schenk-tauschkiste.de/";"Infos zur Abfalltrennung";"https://www.zaw-online.de/index.php?option=com_content&view=article&id=241&Itemid=352"
75;"Landkreis Deggendorf";;;;"Zweckverband Abfallwirtschaft Donau-Wald (ZAW) ";;;"Gerhard-Neumüller-Weg 1, 94532 Außernzell";"info@awg.de";"09903 920-900";"Sortierhilfen, Infomaterial";"Kontakt Abfallberatung";"https://www.awg.de/beratung_haushalt";"Abfall-ABC";"https://www.awg.de/awg/abfallabc";"Infomaterialien";"https://www.awg.de/broschueren"
76;"Kreisfreie Stadt Delmenhorst";;;;"Stadtverwaltung Delmenhorst";;"Frau Grenzdörfer ";"Am Stadtwall 1, 27749 Delmenhorst ";"abfallwirtschaft@delmenhorst.de";"04221 99-2186";"Sortierhilfe in diversen Sprachen, Tauschmarkt- Portal";"Kontakt Abfallberatung und Trenn-Tipps";"http://www.delmenhorst.de/leben-in-del/umwelt/abfallentsorgung/haushalte/index.php";;;;
77;"Kreisfreie Stadt Dessau-Roßlau";;;;"Stadtverwaltung Dessau-Roßlau";"Eigenbetrieb Stadtpflege";"Herr Kornetzky";"Wasserwerkstraße 13, 06842 Dessau-Roßlau";"stadtpflege.kornetzky@dessau-rosslau.de";"0340 503400-15";"Sortierhilfe, Infos kompakt";"Kontakt Abfallberatung";"http://verwaltung.dessau-rosslau.de/stadtentwicklung-und-umwelt/natur-und-umwelt/abfall/abfallberatung.html";"Abfall-ABC";"http://www.stadtpflege.dessau.de/v2/index.php?article_id=45";;
78;"Landkreis Diepholz";;;;"Landratsamt Diepholz";"AWG AbfallWirtschaftsGesellschaft mbH";;"Klövenhausen 20, 27211 Bassum";"info@awg-bassum.de";"04241 801-170";"Tipps zur Abfallvermeidung, Trennhilfen";"Kontakt Öffentlichkeitsarbeit";"http://www.awg-bassum.de/virthos.php?//Systemmenue/Kontakt/Team#%C3%96ffentlichkeitsarbeit";"Tipps zur Abfallvermeidung";"http://www.awg-bassum.de/virthos.php?//Ratgeber/Abfallvermeidung";"Infos zur Abfalltrennung";"http://www.awg-bassum.de/virthos.php?//Ratgeber/Sammeln%20sortieren"
79;"Landkreis Dillingen a.d. Donau";;;;"Landratsamt Dillingen an der Donau ";"Abfallwirtschaftsverband Nordschwaben AWV ";"Ingetraud Wohlfahrt";"Weidenweg 1, 86609 Donauwörth";"iwohlfahrt@awv-nordschwaben.de ";"0906 7803-11";"Broschüren, Online-Tauschmarkt, Abfallpädagogik";"Kontakt Öffentlichkeitsarbeit";"http://www.awv-nordschwaben.de/index.php/ansprechpartner-244.html";"Infos zur Abfalltrennung";"http://www.awv-nordschwaben.de/index.php/awv-broschueren.html";;
80;"Landkreis Dingolfing-Landau";;;;"Abfallwirtschaftsverband (AWV) Isar-InnIsar-Inn";;"Siegfried Altmannsberger u.a.";"Karl-Rolle-Straße 43, 84307 Eggenfelden ";"siegfried.altmannsberger@awv-isar-inn.de ";"08721 9612-20 /-21 /-22 /-23";"Wertstoffwegweiser, mehrsprachige Sortierhilfen, Gebrauchtmöbelbörse";"Kontakt Abfallberatung";"http://www.awv-isar-inn.de/ansprechpartner-des-awv-isar-inn";"Abfall-ABC";"http://www.awv-isar-inn.de/abfallabc";"Infomaterialien";"http://www.awv-isar-inn.de/downloads"
81;"Kreis Dithmarschen";;;;"Abfallwirtschaftsgesellschaft Dithmarschen mbH";;"Uta Kloth";"Stettiner Str. 30, 25746 Heide";"k.kloth@awd-online.de";"0481 8550-16";"Sortierhilfen in diversen Sprachen, Info-Broschüren, Abfallpädagogik (Lernort ALADIN), Tauschbörse, Tipps zur Abfallvermeidung ";"Kontakt Öffentlichkeitsarbeit";"https://www.awd-online.de/die-awd/mitarbeiter/";"Infos zur Abfalltrennung";"https://www.awd-online.de/privatkunden/infomaterial/";"Tipps zur Abfallvermeidung";"https://www.awd-online.de/privatkunden/tipps-zur-abfallvermeidung/"
82;"Landkreis Donau-Ries";;;;"Abfallwirtschaftsverband Nordschwaben AWV ";;"Ingetraud Wohlfahrt";"Weidenweg 1, 86609 Donauwörth ";"info@awv-nordschwaben.de";"0906 7803-11 ";"Broschüren, Online-Tauschmarkt, Abfallpädagogik";"Kontakt Öffentlichkeitsarbeit";"http://www.awv-nordschwaben.de/index.php/ansprechpartner-244.html";"Infos zur Abfalltrennung";"http://www.awv-nordschwaben.de/index.php/awv-broschueren.html";;
83;"Landkreis Donnersbergkreis";;;;"Kreisverwaltung Donnersberg";"Abteilung Abfallwirtschaft, Umwelt";"Susanne Dejon, Wilhelm Löber";"Uhlandstraße 2, 67292 Kirchheimbolanden   ";"sdejon@donnersberg.de, wloeber@donnersberg.de";"06352 710-142 /-110";"Sperrmüllbörse, allgemeine Infos";"Kontakt Abfallberatung";"http://www.donnersberg.de/donnersbergkreis/B%C3%BCrgerservice/Leistungen%20A%20-%20Z/Abfallwirtschaft%20&%20Umwelt/Abfallwirtschaft/?bsinst=0&bstype=l_get&bsparam=80772";"Sperrmüllbörse";"http://www.sperrmuellboerse.donnersberg.de/";;
84;;"Dormagen";"41539, 41540, 41541, 41542";"Kreis Rhein-Kreis Neuss";"Stadtverwaltung Dormagen";"Steueramt";"Anita Kelzenberg ";"Paul-Wierich-Platz 2, 41539 Dormagen ";"steueramt@stadt-dormagen.de";"02133 257-302";"Bauteilbörse, allgemeine Infos";"Kontakt Abfallberatung";"https://dormagen.de/stadtverwaltung/stadt-dormagen/webseiten/buergerservice/civserv/service/dcService/276/";"Abfall-ABC";"http://www.dormagen.mein-abfallkalender.de/abfall_abc";;
85;;"Dorsten";"46282, 46284, 46286";"Kreis Recklinghausen";"Stadtverwaltung Dorsten ";"Entsorgungsbetrieb Stadt Dorsten (EBD)";"Ursula Eickmeier";"An der Wienbecke 15, 46284 Dorsten ";"Ursula.Eickmeier@dorsten.de ";"02362 66-5605 ";"Tausch- und Verschenkmarkt, allgemeine Infos";"Kontakt Abfallberatung";"http://www.dorsten.de/Verwaltung/Formulare.asp?seite=angebot&id=271&suchtext=";"Online-Verschenkmarkt";"http://dorsten.internet-verschenkmarkt.de/list.asp";;
86;"Kreisfreie Stadt Dortmund";"Dortmund";;;"EDG Entsorgung Dortmund GmbH ";;"Klaus Heise ";"Sunderweg 98, 44147 Dortmund ";"k.heise@entsorgung-dortmund.de, info@edg.de ";"0231 9111-360 /-111 ";"Abfallpädagogik, Ratgeber zur Abfallvermeidung, Sortierhilfe, Infomobil-Bus";"Kontakt Umweltpädagogik";"https://www.sauberes-dortmund.de/de/sonstiger-inhalt/kontakt.htm";"Tipps zur Abfallvermeidung";"https://www.sauberes-dortmund.de/de/abfallvermeidung.htm";"Broschüren zur Abfalltrennung";"https://www.edg.de/de/service/downloads.htm"
87;"Kreisfreie Stadt Dresden";"Dresden";;;"Stadtverwaltung Dresden";"Abt. Abfallwirtschaft und Stadtreinigung ";;"Grunaer Straße 2, 01069 Dresden ";"abfallberatung@dresden.de ";"0351 4889633";"Sammlung für sozialen Möbeldienst (SUFW), Gebraucht- und Verschenkmarkt, Flyer und Broschüren, Sortierhilfe in diversen Sprachen";"Kontakt Abfallberatung";"http://www.dresden.de/de/stadtraum/umwelt/abfall-stadtreinigung.php?shortcut=Abfall";"Broschüren zur Abfalltrennung";"https://www.dresden.de/de/stadtraum/umwelt/abfall-stadtreinigung/abfallberatung/Informationsmaterial.php";"Abfall-ABC";"https://www.dresden.de/de/stadtraum/umwelt/abfall-stadtreinigung/abfall-abc.php"
88;"Kreisfreie Stadt Duisburg";"Duisburg";;;"Wirtschaftsbetriebe Duisburg - AöR";;;"Schifferstr. 190, 47059 Duisburg  ";"abfallberatung@wb-duisburg.de";"0203 283-3000 ";"Sortierhilfe in diversen Sprachen, Spielzeugsammlung, Tipps zur Abfallvermeidung, Infos Repaircafés, umfangreiches Angebot Abfallpädagogik";"Kontakt Abfallberatung";"https://www.wb-duisburg.de/Umweltpaedagogik/Abfallberatung.php";"Übersicht der Angebote";"https://www.wb-duisburg.de/Umweltpaedagogik/index.php";"Website Rohstoffretter";"https://www.wb-duisburg.de/Umweltpaedagogik/rohstoffretter.php"
89;;"Dülmen";48249;"Kreis Coesfeld";"Stadtverwaltung Dülmen";"Stabsst. Umwelt- und Klimaschutz";"Herr Kahle";"Overbergplatz 3, 48249 Dülmen";"kahle@duelmen.de";"02594 12-782";"Tausch- und Verschenkmarkt, Abfallbroschüre, Sortierhilfen, Warentauschtage";"Kontakt Abfallberatung";"http://buergerservice.duelmen.de/service/dienstleistung/abfallberatung-abfallentsorgung/index.html";;"http://www.duelmen.de/entsorgung.html";;
90;;"Düren";"52349, 52351, 52353, 52355";"Kreis Düren";"Stadtverwaltung Düren";"Dürener Service Betrieb ";"Nicole Jäger, Nico Objeglo";"Paradiesstraße 17, 52349 Düren ";"n.jaeger@dn-sb.de, n.objeglo@dn-sb.de";"02421 9434-154 /-156";"Sammlung für das DGA-Möbelhaus „Nutz & Nippes“, Trennhilfen, Führungen ";;"http://dn-sb.de/kontakt.htm";"Abfall-ABC";"http://dn-sb.de/abfall_abc.htm";"Second-Hand-Möbelhaus ""Nutz und Nippes""";"http://www.dga-dueren.de/nutzundnippes.html"
91;"Kreisfreie Stadt Düsseldorf";;;;"AWISTA GmbH ";;;"Höherweg 100, 40233 Düsseldorf ";"mail@awista.de ";"0211 830-99099 ";"Broschüren, Sortierhilfen in diversen Sprachen";"Kontakt Abfallberatung";"https://www.awista-duesseldorf.de/de/content/1003/abfallberatung.htm";"Abfall-ABC";"https://www.awista-duesseldorf.de/de/content/1055/abfallabc.htm";"Infos zur Abfalltrennung";"https://www.awista-duesseldorf.de/de/content/Downloads/Downloads.htm"
92;"Landkreis Ebersberg";;;;"Landratsamt Ebersberg ";"Abfallwirtschaft und Kreisstraßen";"Werner Hötzel, Ulrike Weggel";"Eichthalstraße 5, 85560 Ebersberg  ";"abfallwirtschaft@lra-ebe.de ";"08092 823 -9244 /-9193";"Güterbörse, allgemeine Infos";"Kontakt Abfallberatung";"http://www.lra-ebe.de/Landkreis/Abfallwirtschaft.aspx?view=/kxp/orgdata/default&orgid=a8e94d4b-38ba-4ea5-b246-01d54f494ab0";"Infos zur Abfalltrennung";"http://www.lra-ebe.de/Landkreis/Abfallwirtschaft.aspx?view=/kxp/orgdata/default&orgid=4b6bece8-ec1d-4c63-bfba-a42a73732699";;
93;"Landkreis Eichsfeld";;;;"Kreisverwaltung Eichsfeld";"Eichsfeldwerke (EW) Entsorgung GmbH ";"Kornelia Schönau ";"Philipp-Reis-Straße 2, 37308 Heiligenstadt ";"service@ew-netz.de ";"03606 655-160";"Trennhilfen, allgemeine Infos";;;"Infos zur Abfalltrennung";"https://www.eichsfeldwerke.de/entsorgung/abfall-abc/";"Tipps zur Abfallvermeidung";"https://www.eichsfeldwerke.de/entsorgung/service/abfallvermeidung/"
